ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	CommentsView	actors	General	General	General	General
ViewConfiguration	CommentsView	rootConfiguration	CommentsView@Title	CommentsView	CommentsView	CommentsView
ClientAction	CommentsViewArrayPrepareAddOperationHandler	ui-message	NotAllowedToInteractWithComments	arrayPrepareAddOperationHandler	В данном статусе добавлять комментарии запрещено	arrayPrepareAddOperationHandler
ClientAction	CommentsViewArrayPrepareAddOperationHandler	ui-message	SaveFirst	arrayPrepareAddOperationHandler	Для добавления комментариев необходимо сохранить	arrayPrepareAddOperationHandler
ClientAction	CommentsViewPreArrayOperationHandler	ui-message	CommentCannotBeEmpty	preArrayOperationHandler	Комментарий не должен быть пустым	preArrayOperationHandler
ClientAction	CommentsViewPreArrayOperationHandler	ui-message	CommentLengthTooLong	preArrayOperationHandler	Слишком длинный комментарий	preArrayOperationHandler
UiSchema	CommentsViewUiSchema	ui-label	Comments	Comments	Комментарии	Comments
UiSchema	CommentsViewUiSchema	ui-label	CommentMessage	CommentMessage	Текст комментария	CommentMessage
UiSchema	CommentsViewUiSchema	ui-label	CommentComment	CommentComment	Комментарий	CommentComment
UiSchema	CommentsViewUiSchema	ui-label	created	created	Создан	created
UiSchema	CommentsViewUiSchema	ui-label	edited	edited	Изменен	edited
