ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PartyGeneralData	enum	relationGoal@insurance	insurance	Страхование	relationGoal@insurance
DataSchema	PartyGeneralData	enum	relationGoal@otherwise	otherwise	Иное	relationGoal@otherwise
DataSchema	PartyGeneralData	enum	suggestedRelationType@longTerm	longTerm	Долгосрочный	suggestedRelationType@longTerm
DataSchema	PartyGeneralData	enum	suggestedRelationType@shortTerm	shortTerm	Краткосрочный	suggestedRelationType@shortTerm
DataSchema	PartyGeneralData	enum	financialState@sustainable	sustainable	Устойчивое	financialState@sustainable
DataSchema	PartyGeneralData	enum	financialState@unstable	unstable	Неустойчивое	financialState@unstable
DataSchema	PartyGeneralData	enum	businessReputation@positive	positive	Положительная	businessReputation@positive
DataSchema	PartyGeneralData	enum	businessReputation@negative	negative	Негативная	businessReputation@negative
DataSchema	PartyGeneralData	field-title	isNonResident	isNonResident	Нерезидент РФ	isNonResident
DataSchema	PartyGeneralData	field-title	registrationCountry	registrationCountry	Страна регистрации	registrationCountry
DataSchema	PartyGeneralData	field-title	INNKIO	INNKIO	ИНН России	INNKIO
DataSchema	PartyGeneralData	field-title	TIN	TIN	TIN	TIN
DataSchema	PartyGeneralData	field-title	tradingPartnerCode	tradingPartnerCode	Код Trading partner	tradingPartnerCode
DataSchema	PartyGeneralData	field-title	beneficiaryOwner	beneficiaryOwner	Бенефициарный владелец	beneficiaryOwner
DataSchema	PartyGeneralData	field-title	riskEstimation	riskEstimation	Оценка риска	riskEstimation
DataSchema	PartyGeneralData	field-title	relationGoal	relationGoal	Цель установки отношений	relationGoal
DataSchema	PartyGeneralData	field-title	suggestedRelationType	suggestedRelationType	Предполагаемый характер отношений	suggestedRelationType
DataSchema	PartyGeneralData	field-title	goalOfFinancialActivity	goalOfFinancialActivity	Цель финансово-хозяйственной деятельности	goalOfFinancialActivity
DataSchema	PartyGeneralData	field-title	financialState	financialState	Финансовое положение	financialState
DataSchema	PartyGeneralData	field-title	businessReputation	businessReputation	Деловая репутация	businessReputation
DataSchema	PartyGeneralData	field-title	incomeSource	incomeSource	Источник происхождения денежных средств	incomeSource
DataSchema	PartyGeneralData	field-title	beneficiaryOwnerDesc	beneficiaryOwnerDesc	Бенефициарный владелец	beneficiaryOwnerDesc
DataSchema	PartyGeneralData	field-title	goalOfFinancialActivityDesc	goalOfFinancialActivityDesc	Цель финансово-хозяйственной деятельности	goalOfFinancialActivityDesc
DataSchema	PartyGeneralData	field-title	incomeSourceDesc	incomeSourceDesc	Источник происхождения денежных средств	incomeSourceDesc
DataSchema	PartyGeneralData	field-title	beneficiaryOwnerCode	beneficiaryOwnerCode	beneficiaryOwnerCode	beneficiaryOwnerCode
DataSchema	PartyGeneralData	field-title	noTIN	noTIN	TIN нет	noTIN
DataSchema	PartyGeneralData	field-title	taxResidence	taxResidence	Страна налогового резидентства	taxResidence
DataSchema	PartyGeneralData	field-title	descriptionForGoalOfFinancialActivity	descriptionForGoalOfFinancialActivity	Описание цели финансово-хозяйственной деятельности	descriptionForGoalOfFinancialActivity
DataSchema	PartyGeneralData	field-title	descriptionForIncomeSource	descriptionForIncomeSource	Описание источника происхождения денежных средств	descriptionForIncomeSource
DataSchema	PartyGeneralData	field-title	isPodFt	isPodFt	ПОД/ФТ	isPodFt
DataSchema	PartyGeneralData	field-title	nonResidentCode	nonResidentCode	Код нерезидента	nonResidentCode
DataSchema	PartyGeneralData	field-title	isNotificationSent	isNotificationSent	Уведомление отправлено	isNotificationSent
DataSchema	PartyGeneralData	field-title	OKPO	OKPO	ОКПО	OKPO
DataSchema	PartyGeneralData	field-title	OKVED	OKVED	ОКВЭД	OKVED
UiSchema	PartyGeneralData	ui-label	Party General Data	Party General Data	Общая информация	Party General Data
UiSchema	PartyGeneralData	ui-label	isNonResident	isNonResident	Нерезидент РФ	isNonResident
UiSchema	PartyGeneralData	ui-label	registrationCountry	registrationCountry	Страна регистрации	registrationCountry
UiSchema	PartyGeneralData	ui-label	INNKIO	INNKIO	ИНН России	INNKIO
UiSchema	PartyGeneralData	ui-label	TIN	TIN	TIN	TIN
UiSchema	PartyGeneralData	ui-label	tradingPartnerCode	tradingPartnerCode	Код Trading partner	tradingPartnerCode
UiSchema	PartyGeneralData	ui-label	beneficiaryOwner	beneficiaryOwner	Бенефициарный владелец	beneficiaryOwner
UiSchema	PartyGeneralData	ui-label	riskEstimation	riskEstimation	Оценка риска	riskEstimation
UiSchema	PartyGeneralData	ui-label	relationGoal	relationGoal	Цель установки отношений	relationGoal
UiSchema	PartyGeneralData	ui-label	suggestedRelationType	suggestedRelationType	Предполагаемый характер отношений	suggestedRelationType
