ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	FundLoadedDataFromExcel	rootConfiguration	FundLoadedDataFromExcel@Title	FundLoadedDataFromExcel	FundLoadedDataFromExcel	БО
ViewConfiguration	FundLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Excel №
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	rowNumber	rowNumber	rowNumber	№
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	documentNumber	documentNumber	documentNumber	Номер договора
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	fundStatus	fundStatus	fundStatus	Статус фонда
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	netAssetsAmount	netAssetsAmount	netAssetsAmount	Стоимость инвестиционного счета (Стоимость чистых активов)
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	freeMoney	freeMoney	freeMoney	Свободные денежные средства
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	numberOfUnits	numberOfUnits	numberOfUnits	Кол-во паев (юнитов)
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	unitCurrentAmount	unitCurrentAmount	unitCurrentAmount	Текущая стоимость пая (юнита)
UiSchema	FundLoadedDataFromExcelUiSchema	ui-label	reportDate	reportDate	reportDate	Дата отчета
