ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	HistoryCommentsView	actors	General	General	General	General
ClientAction	HistoryCommentsViewArrayPrepareAddOperationHandler	ui-message	SaveFirst	arrayPrepareAddOperationHandler	Для добавления комментариев необходимо сохранить	arrayPrepareAddOperationHandler
ClientAction	HistoryCommentsViewPreArrayOperationHandler	ui-message	CommentCannotBeEmpty	preArrayOperationHandler	Комментарий не должен быть пустым	preArrayOperationHandler
ClientAction	HistoryCommentsViewPreArrayOperationHandler	ui-message	CommentLengthTooLong	preArrayOperationHandler	Слишком длинный комментарий	preArrayOperationHandler
UiSchema	HistoryCommentsViewUiSchema	ui-label	Comments	Comments	Комментарии	Comments
UiSchema	HistoryCommentsViewUiSchema	ui-label	CommentMessage	CommentMessage	Текст комментария	CommentMessage
UiSchema	HistoryCommentsViewUiSchema	ui-label	CommentComment	CommentComment	Комментарий	CommentComment
UiSchema	HistoryCommentsViewUiSchema	ui-label	created	created	Создан	created
UiSchema	HistoryCommentsViewUiSchema	ui-label	edited	edited	Изменен	edited
ViewConfiguration	HistoryCommentsView	rootConfiguration	HistoryCommentsView@Title	HistoryCommentsView	HistoryCommentsView	HistoryCommentsView
ClientAction	HistoryCommentsViewPreArrayOperationHandler	ui-message	WrongAuthor	preArrayOperationHandler	Невозможно отредактировать чужой комментарий	WrongAuthor
