ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PartyAddress	field-title	country	country	Страна	country
DataSchema	PartyAddress	field-title	region	region	Субъект РФ	region
DataSchema	PartyAddress	field-title	area	area	Район	area
DataSchema	PartyAddress	field-title	city	city	Город	city
DataSchema	PartyAddress	field-title	settlement	settlement	Населенный пункт	settlement
DataSchema	PartyAddress	field-title	street	street	Улица	street
DataSchema	PartyAddress	field-title	house	house	Дом	house
DataSchema	PartyAddress	field-title	houseExtension	houseExtension	Расширение дома	houseExtension
DataSchema	PartyAddress	field-title	flat	flat	Квартира (офис)	flat
DataSchema	PartyAddress	field-title	postalCode	postalCode	Индекс	postalCode
DataSchema	PartyAddress	field-title	codeOkato	codeOkato	Код ОКАТО	codeOkato
DataSchema	PartyAddress	field-title	codeKladr	codeKladr	Код КЛАДР	codeKladr
DataSchema	PartyAddress	field-title	comment	comment	Комментарии	comment
DataSchema	PartyAddress	field-title	fullAddress	fullAddress	Адрес целиком	Full address
DataSchema	PartyAddress	field-title	addressType	addressType	Тип адреса	addressType
DataSchema	PartyAddress	field-title	addressTypeCode	addressTypeCode	Код типа	addressTypeCode
DataSchema	PartyAddress	field-title	addressTypeDesc	addressTypeDesc	Наименование типа	addressTypeDesc
DataSchema	PartyAddress	field-title	actualFrom	actualFrom	Актуален С	actualFrom
DataSchema	PartyAddress	field-title	actualTo	actualTo	Актуален По	actualTo
DataSchema	PartyAddress	field-title	isForeignAddress	isForeignAddress	Иностранный адрес	isForeignAddress
DataSchema	PartyAddress	field-title	isSameAsRegistration	isSameAsRegistration	Совпадает с адресом регистрации	isSameAsRegistration
DataSchema	PartyAddress	field-title	isManualAddress	isManualAddress	Ввод адреса вручную	isManualAddress
UiSchema	PartyAddress	ui-label	addressType	addressType	Тип адреса	addressType
UiSchema	PartyAddress	ui-label	comment	comment	Комментарии	comment
UiSchema	PartyAddress	ui-label	postalCode	postalCode	Индекс	postalCode
UiSchema	PartyAddress	ui-label	country	country	Страна	country
UiSchema	PartyAddress	ui-label	region	region	Субъект РФ	region
UiSchema	PartyAddress	ui-label	area	area	Район	area
UiSchema	PartyAddress	ui-label	city	city	Город	city
UiSchema	PartyAddress	ui-label	settlement	settlement	Населенный пункт	settlement
UiSchema	PartyAddress	ui-label	street	street	Улица	street
UiSchema	PartyAddress	ui-label	house	house	Дом	house
UiSchema	PartyAddress	ui-label	houseExtension	houseExtension	Расширение дома	houseExtension
UiSchema	PartyAddress	ui-label	flat	flat	Квартира (офис)	flat
UiSchema	PartyAddress	ui-label	actualFrom	actualFrom	Актуален С	actualFrom
UiSchema	PartyAddress	ui-label	actualTo	actualTo	Актуален По	actualTo
UiSchema	PartyAddress	ui-label	isForeignAddress	isForeignAddress	Иностранный адрес	isForeignAddress
UiSchema	PartyAddress	ui-label	fullAddress	fullAddress	Адрес целиком	Full address
UiSchema	PartyAddress	ui-label	isSameAsRegistration	isSameAsRegistration	Совпадает с адресом регистрации	isSameAsRegistration
UiSchema	PartyAddress	ui-label	isManualAddress	isManualAddress	Ввод адреса вручную	isManualAddress
Rule	PartyAddressValidatePartyAddress	rule	validation@fullAddressRequired	validatePartyAddress	E: Необходимо заполнить Адрес целиком.	E: validation@fullAddressRequired
Rule	PartyAddressValidatePartyAddress	rule	validation@addressTypeRequired	validatePartyAddress	E: Необходимо заполнить Тип адреса.	E: validation@addressTypeRequired
Rule	PartyAddressValidatePartyAddress	rule	validation@actualFromIsNewest	validatePartyAddress	E: Актуальная дата должна быть не меньше ранее указанных.	E: validation@actualFromIsNewest
UiSchema	PartyAddress	ui-label	manualCountry	manualCountry	Страна	Country
Rule	PartyAddressValidatePartyAddress	rule	validation@manualCountryRequired	validatePartyAddress	Е: Необходимо указать страну регистрации или проживания	E: validation@manualCountryRequired
