ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	InfoView	actors	General	General	General	General
ViewConfiguration	InfoView	rootConfiguration	InfoView@Title	InfoView	InfoView	Полезная информация
UiSchema	InfoViewUiSchema	ui-label	InfoLinks	InfoLinks	InfoLinks	Полезные ссылки
UiSchema	InfoViewUiSchema	ui-label	text1	text1	text1	Хотите посмотреть видеоролик-инструкцию, как пользоваться системой AdInsure? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text2	text2	text2	Хотите почитать инструкцию пользователя AdInsure? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text3	text3	text3	Хотите скачать заявку на предоставление доступа? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text4	text4	text4	Хотите скачать памятку пользователя? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text5	text5	text5	Хотите скачать образец декларации Базис Гарант и Базис Инвест? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text6	text6	text6	Хотите скачать образец декларации Восстанови здоровье? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text7	text7	text7	Хотите скачать образец декларации Достойный век? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text8	text8	text8	Хотите скачать образец декларации Стань миллионером? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text9	text9	text9	Хотите скачать образец декларации Детский капитал классика 2.0? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	text10	text10	text10	Хотите скачать образец декларации Надежный капитал классика 2.0? Вам сюда:
UiSchema	InfoViewUiSchema	ui-label	Frequently asked questions	Frequently asked questions	Frequently asked questions	FAQ. Часто задаваемые вопросы
UiSchema	InfoViewUiSchema	ui-label	Download frequently asked questions	Download frequently asked questions	Download frequently asked questions	Хотите скачать ответы на часто задаваемые вопросы? Вам сюда:
