ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentFlowDefinition	ProductConfigurationCorrectionFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	ProductConfigurationCorrectionFlow	states	states@Draft	Draft	Draft	Черновик
DocumentConfiguration	ProductConfigurationCorrection	rootConfiguration	ProductConfigurationCorrection@Title	ProductConfigurationCorrection	ProductConfigurationCorrection	Конфигурация продукта
DataSchema	ProductConfigurationCorrection	field-title	commentIsRequired	commentIsRequired	commentIsRequired	commentIsRequired
DataSchema	ProductConfigurationCorrection	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired
UiSchema	ProductConfigurationCorrectionMainContent	ui-label	Product configuration main conditions	Product configuration main conditions	Product configuration main conditions	Основные условия
DocumentFlowDefinition	ProductConfigurationCorrectionFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	ProductConfigurationCorrectionFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	ProductConfigurationCorrectionFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменен
DocumentFlowDefinition	ProductConfigurationCorrectionFlow	states	states@Cancelled	Cancelled	Cancelled	Отменен
DocumentConfiguration	ProductConfigurationCorrection	actors	System	System	System	Система
DocumentConfiguration	ProductConfigurationCorrection	actors	ProductConfigurationEditor	ProductConfigurationEditor	ProductConfigurationEditor	Конфигурация продукта (редактирование)
DocumentConfiguration	ProductConfigurationCorrection	actors	ProductConfigurationViewer	ProductConfigurationViewer	ProductConfigurationViewer	Конфигурация продукта (просмотр)
DocumentConfiguration	ProductConfigurationCorrection	actors	EconomicParametersEditor	EconomicParametersEditor	EconomicParametersEditor	Параметры экономики НСЖ, ИСЖ (редактирование)
DocumentConfiguration	ProductConfigurationCorrection	actors	EconomicParametersViewer	EconomicParametersViewer	EconomicParametersViewer	Параметры экономики НСЖ, ИСЖ (просмотр)
UiSchema	ProductConfigurationCorrectionMainContent	ui-label	Economic parameters	Economic parameters	Economic parameters	Параметры экономики НСЖ, ИСЖ
